,filename,width,height,class,xmin,ymin,xmax,ymax
0,indicearriba.1110b3bb-94bb-11ec-8d7f-76dfbf68ea0d.jpg,640,480,indicearriba,311,245,419,403
1,indicearriba.1391eef4-94bb-11ec-93cc-76dfbf68ea0d.jpg,640,480,indicearriba,180,169,270,335
2,indicederecha.32028170-94bb-11ec-a638-76dfbf68ea0d.jpg,640,480,indicederecha,131,334,276,455
3,indicederecha.34839339-94bb-11ec-8317-76dfbf68ea0d.jpg,640,480,indicederecha,146,275,301,406
4,indiceizquierda.272b7bb2-94bb-11ec-9a3d-76dfbf68ea0d.jpg,640,480,indiceizquierda,98,265,323,377
5,indiceizquierda.286b7880-94bb-11ec-b81d-76dfbf68ea0d.jpg,640,480,indiceizquierda,214,261,416,360
6,indiceabajo.20d9a4a8-94bb-11ec-b23a-76dfbf68ea0d.jpg,640,480,indiceabajo,57,137,202,321
7,indiceabajo.195fdd2b-94bb-11ec-9920-76dfbf68ea0d.jpg,640,480,indiceabajo,130,185,238,339
8,indicederecha.385106e7-94bb-11ec-8b30-76dfbf68ea0d.jpg,640,480,indicederecha,158,338,282,428
9,indiceizquierda.2ae4d482-94bb-11ec-bfa5-76dfbf68ea0d.jpg,640,480,indiceizquierda,158,352,410,476
10,indiceizquierda.2c25a8d2-94bb-11ec-8dc0-76dfbf68ea0d.jpg,640,480,indiceizquierda,204,313,416,429
11,indiceizquierda.2d660f81-94bb-11ec-b319-76dfbf68ea0d.jpg,640,480,indiceizquierda,238,334,399,420
12,indiceizquierda.25ee52e1-94bb-11ec-9992-76dfbf68ea0d.jpg,640,480,indiceizquierda,160,261,361,357
13,indiceizquierda.29a7e95f-94bb-11ec-97f4-76dfbf68ea0d.jpg,640,480,indiceizquierda,161,305,324,391
14,indiceabajo.1a9c8312-94bb-11ec-8392-76dfbf68ea0d.jpg,640,480,indiceabajo,179,145,302,307
15,indiceabajo.1bd8291c-94bb-11ec-9eb8-76dfbf68ea0d.jpg,640,480,indiceabajo,114,185,221,364
16,indiceabajo.1d1bd6ab-94bb-11ec-b4f1-76dfbf68ea0d.jpg,640,480,indiceabajo,57,212,171,401
17,indiceabajo.1e5e4e08-94bb-11ec-bbc7-76dfbf68ea0d.jpg,640,480,indiceabajo,200,198,324,391
18,indiceabajo.1f9e5a38-94bb-11ec-b9f0-76dfbf68ea0d.jpg,640,480,indiceabajo,188,133,326,313
19,indicearriba.0d59e0d0-94bb-11ec-852d-76dfbf68ea0d.jpg,640,480,indicearriba,75,205,210,441
20,indicearriba.0e9b4e05-94bb-11ec-8f69-76dfbf68ea0d.jpg,640,480,indicearriba,204,150,343,378
21,indicearriba.0fd47820-94bb-11ec-9092-76dfbf68ea0d.jpg,640,480,indicearriba,130,213,228,391
22,indicearriba.14cda911-94bb-11ec-b986-76dfbf68ea0d.jpg,640,480,indicearriba,108,238,212,433
23,indicearriba.124c6eef-94bb-11ec-a408-76dfbf68ea0d.jpg,640,480,indicearriba,120,231,208,400
24,indicederecha.35c2a00e-94bb-11ec-b231-76dfbf68ea0d.jpg,640,480,indicederecha,132,366,282,473
25,indicederecha.333fddcd-94bb-11ec-8b62-76dfbf68ea0d.jpg,640,480,indicederecha,145,222,284,357
26,indicederecha.398a4169-94bb-11ec-9926-76dfbf68ea0d.jpg,640,480,indicederecha,137,348,266,436
27,indicederecha.3708e546-94bb-11ec-87a0-76dfbf68ea0d.jpg,640,480,indicederecha,102,345,243,463
